20 morsels on the table
Sue is enjoying some eggs
Rita is enjoying some cheese
Alice is enjoying some eggs
Bob is enjoying some eggs
Sue is enjoying some eggs
Alice is enjoying some ham
Bob is enjoying some eggs
Rita is enjoying some ham
Sue is enjoying some ham
Bob is enjoying some cheese
Alice is enjoying some cheese
Rita is enjoying some eggs
Bob is enjoying some ham
Sue is enjoying some eggs
Rita is enjoying some eggs
Alice is enjoying some ham
Alice is enjoying some cheese
Bob is enjoying some eggs
Rita is enjoying some eggs
Sue is enjoying some cheese
that was delicious!
